,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
New OrleansNO,19,344,60,21,2.9,284,291,7.9,1,59,5.8,0,0,8.666666666666666,0.36,0.0,0,0,1
New OrleansNO,20,429,81,17,4.8,348,356,7.9,1,63,6.8,0,0,7.0,0.33,0.5,0,1,2
New OrleansNO,21,362,149,27,5.5,213,220,7.6,1,57,6.4,3,0,10.0,0.5,0.0,1,0,3
New OrleansNO,22,347,86,28,3.1,261,268,6.5,1,70,5.0,1,0,8.875,0.46,0.5,1,0,4
New OrleansNO,19,379,193,37,5.2,186,186,6.2,0,67,5.7,3,1,9.076923076923077,0.16,1.0,1,1,6
New OrleansNO,25,485,161,36,4.5,324,331,8.7,1,75,6.5,1,0,11.428571428571429,0.53,1.0,1,0,7
New OrleansNO,19,387,101,30,3.4,286,299,10.7,2,60,6.5,1,2,7.285714285714286,0.22,0.0,1,1,8
New OrleansNO,21,407,151,32,4.7,256,263,9.7,1,60,6.8,0,2,7.0,0.53,0.0,1,1,9
New OrleansNO,32,482,298,48,6.2,184,184,7.4,0,73,6.6,1,1,10.25,0.5,1.0,1,0,10
New OrleansNO,27,535,160,23,7.0,375,385,9.4,2,66,8.1,0,0,7.714285714285714,0.33,1.0,1,1,11
New OrleansNO,14,346,123,17,7.2,223,246,7.7,3,52,6.7,1,0,16.0,0.23,1.0,0,0,12
New OrleansNO,19,400,148,28,5.3,252,269,7.9,2,64,6.2,0,1,9.714285714285714,0.4,1.0,1,1,13
New OrleansNO,18,306,50,15,3.3,256,271,7.7,2,52,5.9,3,0,7.454545454545454,0.3,1.0,0,0,14
New OrleansNO,23,412,131,28,4.7,281,281,7.8,0,64,6.4,2,2,11.5,0.3,1.0,1,1,15
New OrleansNO,15,315,86,31,2.8,229,239,8.5,1,60,5.2,1,0,10.0,0.23,1.0,1,1,16
New OrleansNO,18,323,92,26,3.5,231,245,8.2,2,58,5.6,3,1,5.428571428571429,0.5,0.0,0,0,17
New OrleansNO,26,475,43,13,3.3,432,439,9.8,1,59,8.1,0,2,9.625,0.44,1.0,0,1,1
New OrleansNO,18,275,62,23,2.7,213,243,6.9,3,61,4.5,1,2,13.25,0.25,0.0,1,1,2
New OrleansNO,32,534,143,27,5.3,391,396,8.1,1,77,6.9,0,0,10.909090909090908,0.5,1.0,1,0,3
New OrleansNO,25,389,170,32,5.3,219,227,6.7,1,67,5.8,0,0,10.2,0.38,1.0,1,0,4
New OrleansNO,27,447,98,32,3.1,349,363,12.5,2,63,7.1,1,1,11.25,0.55,0.0,1,1,5
New OrleansNO,26,339,134,39,3.4,205,212,7.1,1,70,4.8,0,1,8.666666666666666,0.42,0.8,1,0,7
New OrleansNO,17,270,106,29,3.7,164,164,6.8,0,53,5.1,1,0,9.142857142857142,0.44,0.0,1,0,8
New OrleansNO,31,487,141,34,4.1,346,346,9.6,0,70,7.0,1,1,10.0,0.58,1.0,1,1,9
New OrleansNO,33,509,244,47,5.2,265,265,9.8,0,74,6.9,2,0,5.0,0.58,1.0,1,0,10
New OrleansNO,28,546,173,37,4.7,373,373,11.7,0,69,7.9,3,0,8.625,0.54,1.0,1,1,11
New OrleansNO,19,312,150,31,4.8,162,171,7.8,2,55,5.7,1,0,6.333333333333333,0.45,0.0,1,1,12
New OrleansNO,14,176,65,19,3.4,111,127,4.5,2,49,3.6,0,0,9.6,0.27,0.0,0,0,13
New OrleansNO,19,298,100,30,3.3,198,201,6.5,1,62,4.8,1,1,8.5,0.5,1.0,1,0,14
New OrleansNO,21,346,155,32,4.8,191,203,5.8,2,69,5.0,1,1,8.88888888888889,0.3,1.0,1,0,15
New OrleansNO,24,370,57,19,3.0,313,326,8.2,2,61,6.1,0,0,10.11111111111111,0.5,0.0,1,1,16
New OrleansNO,17,294,184,27,6.8,110,118,5.4,2,51,5.8,0,0,15.666666666666666,0.4,0.0,0,1,17
New OrleansNO,25,510,148,21,7.0,362,370,8.6,1,65,7.8,1,0,6.857142857142857,0.63,0.0,1,1,1
New OrleansNO,15,244,57,20,2.9,187,203,5.8,2,57,4.3,0,0,7.909090909090909,0.3,0.0,0,0,2
New OrleansNO,15,265,88,23,3.8,177,177,6.6,0,50,5.3,0,1,6.363636363636363,0.27,1.0,1,0,3
New OrleansNO,18,266,117,27,4.3,149,193,6.4,5,62,4.3,1,0,8.88888888888889,0.42,0.0,1,1,4
New OrleansNO,25,457,112,31,3.6,345,345,9.6,0,67,6.8,0,0,6.666666666666667,0.53,0.5,1,1,5
New OrleansNO,18,326,104,26,4.0,222,240,6.7,3,65,5.0,1,0,11.666666666666666,0.38,0.0,1,0,6
New OrleansNO,24,424,151,35,4.3,273,281,7.4,1,74,5.7,0,0,8.75,0.46,0.0,1,0,7
New OrleansNO,28,510,137,29,4.7,373,373,8.7,0,72,7.1,0,0,7.5,0.58,0.0,1,1,8
New OrleansNO,18,310,52,11,4.7,258,304,6.6,6,63,4.9,1,0,7.5,0.25,0.0,0,1,10
New OrleansNO,21,328,109,28,3.9,219,228,6.5,1,64,5.1,4,0,8.444444444444445,0.53,1.0,1,0,11
New OrleansNO,23,418,118,18,6.6,300,311,8.0,2,59,7.1,0,0,10.25,0.4,0.0,1,1,12
New OrleansNO,14,279,95,18,5.3,184,184,5.9,0,49,5.7,2,0,13.444444444444445,0.2,0.0,1,0,13
New OrleansNO,28,465,116,27,4.3,349,349,8.5,0,68,6.8,1,1,10.0,0.45,0.66,0,1,14
New OrleansNO,27,424,117,33,3.5,307,307,10.2,0,63,6.7,0,0,8.666666666666666,0.55,0.0,1,1,15
New OrleansNO,23,377,102,23,4.4,275,299,7.5,3,66,5.7,0,0,6.363636363636363,0.33,0.0,1,0,16
New OrleansNO,25,379,115,35,3.3,264,267,8.6,1,67,5.7,2,0,14.666666666666666,0.36,0.0,1,0,17
